------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:12 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.pkts                                  | Total                     | 1847
decoder.bytes                                 | Total                     | 4428026
decoder.ipv4                                  | Total                     | 1847
decoder.tcp                                   | Total                     | 1488
tcp.syn                                       | Total                     | 110
tcp.synack                                    | Total                     | 112
tcp.rst                                       | Total                     | 14
decoder.udp                                   | Total                     | 355
decoder.icmpv4                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 2397
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 110
flow.total                                    | Total                     | 190
flow.active                                   | Total                     | 190
flow.tcp                                      | Total                     | 136
flow.udp                                      | Total                     | 54
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 110
tcp.ssn_from_pool                             | Total                     | 110
tcp.segment_from_cache                        | Total                     | 160
tcp.segment_from_pool                         | Total                     | 166
tcp.overlap                                   | Total                     | 6
app_layer.flow.tls                            | Total                     | 13
app_layer.flow.quic                           | Total                     | 7
app_layer.tx.quic                             | Total                     | 14
app_layer.error.quic.parser                   | Total                     | 7
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 20
app_layer.flow.dns_udp                        | Total                     | 15
app_layer.tx.dns_udp                          | Total                     | 30
app_layer.flow.failed_udp                     | Total                     | 30
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 185
flow.mgr.flows_notimeout                      | Total                     | 185
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849704
tcp.reassembly_memuse                         | Total                     | 5341228
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:53:22 (uptime: 0d, 00h 00m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 1762
ips.blocked                                   | Total                     | 379
ips.drop_reason.flow_drop                     | Total                     | 343
ips.drop_reason.applayer_error                | Total                     | 8
ips.drop_reason.stream_error                  | Total                     | 1
ips.drop_reason.stream_midstream              | Total                     | 27
decoder.pkts                                  | Total                     | 2142
decoder.bytes                                 | Total                     | 5146533
decoder.ipv4                                  | Total                     | 2142
decoder.tcp                                   | Total                     | 1734
tcp.syn                                       | Total                     | 129
tcp.synack                                    | Total                     | 131
tcp.rst                                       | Total                     | 16
decoder.udp                                   | Total                     | 404
decoder.icmpv4                                | Total                     | 4
decoder.avg_pkt_size                          | Total                     | 2402
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 128
flow.total                                    | Total                     | 218
flow.active                                   | Total                     | 218
flow.tcp                                      | Total                     | 155
flow.udp                                      | Total                     | 63
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
tcp.sessions                                  | Total                     | 128
tcp.ssn_from_pool                             | Total                     | 128
tcp.segment_from_cache                        | Total                     | 198
tcp.segment_from_pool                         | Total                     | 183
tcp.overlap                                   | Total                     | 7
app_layer.flow.tls                            | Total                     | 15
app_layer.flow.quic                           | Total                     | 8
app_layer.tx.quic                             | Total                     | 16
app_layer.error.quic.parser                   | Total                     | 8
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 22
app_layer.flow.dns_udp                        | Total                     | 17
app_layer.tx.dns_udp                          | Total                     | 34
app_layer.flow.failed_udp                     | Total                     | 36
flow.mgr.full_hash_pass                       | Total                     | 3
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 221
flow.mgr.flows_notimeout                      | Total                     | 221
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849704
